revenueSource,campus,amount,year
Private Gifts,Riverside,13072,2011
State Educational Appropriations,Riverside,199625,2011
State Financing Appropriations,Riverside,13458,2011
Student Tuition and Fees,Riverside,196053,2011
Auxiliary Enterprises,Riverside,57528,2012
Educational Activities,Riverside,5894,2012
Grants and Contracts,Riverside,154888,2012
Investment Income,Riverside,10100,2012
Medical Centers,Riverside,0,2012
Other Revenues,Riverside,18021,2012
Private Gifts,Riverside,20379,2012
State Educational Appropriations,Riverside,146930,2012
State Financing Appropriations,Riverside,13275,2012
Student Tuition and Fees,Riverside,239071,2012
Auxiliary Enterprises,San Diego,130696,2008
Educational Activities,San Diego,223764,2008
Grants and Contracts,San Diego,765513,2008
Investment Income,San Diego,33682,2008
Medical Centers,San Diego,732500,2008
Other Revenues,San Diego,54936,2008
Private Gifts,San Diego,59136,2008
State Educational Appropriations,San Diego,301300,2008
State Financing Appropriations,San Diego,17602,2008
Student Tuition and Fees,San Diego,230451,2008
Auxiliary Enterprises,San Diego,134575,2009
Educational Activities,San Diego,227425,2009
Grants and Contracts,San Diego,812824,2009
Investment Income,San Diego,31826,2009
Medical Centers,San Diego,805547,2009
Other Revenues,San Diego,56752,2009
Private Gifts,San Diego,55791,2009
State Educational Appropriations,San Diego,244612,2009
State Financing Appropriations,San Diego,13030,2009
Student Tuition and Fees,San Diego,260915,2009
Auxiliary Enterprises,San Diego,133842,2010
Educational Activities,San Diego,260264,2010
Grants and Contracts,San Diego,930824,2010
Investment Income,San Diego,27501,2010
Medical Centers,San Diego,854759,2010
Other Revenues,San Diego,54395,2010
Private Gifts,San Diego,85608,2010
State Educational Appropriations,San Diego,282345,2010
State Financing Appropriations,San Diego,15639,2010
Student Tuition and Fees,San Diego,312657,2010
Auxiliary Enterprises,San Diego,136374,2011
Educational Activities,San Diego,311959,2011
Grants and Contracts,San Diego,1020117,2011
Investment Income,San Diego,32931,2011
Medical Centers,San Diego,959588,2011
Other Revenues,San Diego,50415,2011
Private Gifts,San Diego,51284,2011
State Educational Appropriations,San Diego,298025,2011
State Financing Appropriations,San Diego,21113,2011
Student Tuition and Fees,San Diego,350454,2011
Auxiliary Enterprises,San Diego,152875,2012
Educational Activities,San Diego,372119,2012
Grants and Contracts,San Diego,1043877,2012
Investment Income,San Diego,39537,2012
Medical Centers,San Diego,1043598,2012
Other Revenues,San Diego,63555,2012
Private Gifts,San Diego,68333,2012
State Educational Appropriations,San Diego,225405,2012
State Financing Appropriations,San Diego,20860,2012
Student Tuition and Fees,San Diego,388522,2012
Auxiliary Enterprises,San Francisco,42468,2008
Educational Activities,San Francisco,128469,2008
Grants and Contracts,San Francisco,902793,2008
Investment Income,San Francisco,81754,2008
Medical Centers,San Francisco,1481760,2008
Other Revenues,San Francisco,63148,2008
Private Gifts,San Francisco,148404,2008
State Educational Appropriations,San Francisco,231272,2008
State Financing Appropriations,San Francisco,5089,2008
Student Tuition and Fees,San Francisco,40898,2008
Auxiliary Enterprises,San Francisco,43430,2009
Educational Activities,San Francisco,134423,2009
Grants and Contracts,San Francisco,897875,2009
Investment Income,San Francisco,72587,2009
Medical Centers,San Francisco,1648966,2009
Other Revenues,San Francisco,53841,2009
Private Gifts,San Francisco,118857,2009
State Educational Appropriations,San Francisco,187759,2009
State Financing Appropriations,San Francisco,6908,2009
Student Tuition and Fees,San Francisco,44992,2009
Auxiliary Enterprises,San Francisco,43299,2010
Educational Activities,San Francisco,131661,2010
Grants and Contracts,San Francisco,1019062,2010
Investment Income,San Francisco,71828,2010
Medical Centers,San Francisco,1791490,2010
Other Revenues,San Francisco,60703,2010
Private Gifts,San Francisco,172703,2010
State Educational Appropriations,San Francisco,216303,2010
State Financing Appropriations,San Francisco,6800,2010
Student Tuition and Fees,San Francisco,48758,2010
Auxiliary Enterprises,San Francisco,46635,2011
Educational Activities,San Francisco,162035,2011
Grants and Contracts,San Francisco,1124887,2011
Investment Income,San Francisco,75659,2011
Medical Centers,San Francisco,1923365,2011
Other Revenues,San Francisco,92409,2011
Private Gifts,San Francisco,152315,2011
State Educational Appropriations,San Francisco,209453,2011
State Financing Appropriations,San Francisco,6812,2011
Student Tuition and Fees,San Francisco,52455,2011
Auxiliary Enterprises,San Francisco,46938,2012
Educational Activities,San Francisco,181925,2012
Grants and Contracts,San Francisco,1121410,2012
Investment Income,San Francisco,66818,2012
Medical Centers,San Francisco,1975024,2012
Other Revenues,San Francisco,78493,2012
Private Gifts,San Francisco,124136,2012
State Educational Appropriations,San Francisco,177927,2012
State Financing Appropriations,San Francisco,6664,2012
Student Tuition and Fees,San Francisco,54536,2012
Auxiliary Enterprises,Santa Barbara,89828,2008
Educational Activities,Santa Barbara,5870,2008
Grants and Contracts,Santa Barbara,189489,2008
Investment Income,Santa Barbara,9825,2008
Medical Centers,Santa Barbara,0,2008
Other Revenues,Santa Barbara,26717,2008
Private Gifts,Santa Barbara,30742,2008
State Educational Appropriations,Santa Barbara,204296,2008
State Financing Appropriations,Santa Barbara,12739,2008
Student Tuition and Fees,Santa Barbara,176479,2008
Auxiliary Enterprises,Santa Barbara,97187,2009
Educational Activities,Santa Barbara,7819,2009
Grants and Contracts,Santa Barbara,196217,2009
Investment Income,Santa Barbara,10586,2009
Medical Centers,Santa Barbara,0,2009
Other Revenues,Santa Barbara,24120,2009
Private Gifts,Santa Barbara,33553,2009
State Educational Appropriations,Santa Barbara,165858,2009
State Financing Appropriations,Santa Barbara,11427,2009
Student Tuition and Fees,Santa Barbara,192303,2009
Auxiliary Enterprises,Santa Barbara,99471,2010
Educational Activities,Santa Barbara,7911,2010
Grants and Contracts,Santa Barbara,223468,2010
Investment Income,Santa Barbara,7986,2010
Medical Centers,Santa Barbara,0,2010
Other Revenues,Santa Barbara,25307,2010
Private Gifts,Santa Barbara,30110,2010
State Educational Appropriations,Santa Barbara,191017,2010
State Financing Appropriations,Santa Barbara,8724,2010
Student Tuition and Fees,Santa Barbara,225934,2010
Auxiliary Enterprises,Santa Barbara,95331,2011
Educational Activities,Santa Barbara,7277,2011
Grants and Contracts,Santa Barbara,228465,2011
Investment Income,Santa Barbara,10049,2011
Medical Centers,Santa Barbara,0,2011
Other Revenues,Santa Barbara,24397,2011
Private Gifts,Santa Barbara,36465,2011
State Educational Appropriations,Santa Barbara,168662,2011
State Financing Appropriations,Santa Barbara,11452,2011
Student Tuition and Fees,Santa Barbara,261801,2011
Auxiliary Enterprises,Santa Barbara,114713,2012
Educational Activities,Santa Barbara,7559,2012
Grants and Contracts,Santa Barbara,228623,2012
Investment Income,Santa Barbara,4639,2012
Medical Centers,Santa Barbara,0,2012
Other Revenues,Santa Barbara,34009,2012
Private Gifts,Santa Barbara,39899,2012
State Educational Appropriations,Santa Barbara,116880,2012
State Financing Appropriations,Santa Barbara,11289,2012
Student Tuition and Fees,Santa Barbara,292609,2012
Auxiliary Enterprises,Santa Cruz,83377,2008
Educational Activities,Santa Cruz,9054,2008
Grants and Contracts,Santa Cruz,136438,2008
Investment Income,Santa Cruz,6186,2008
Medical Centers,Santa Cruz,0,2008
Other Revenues,Santa Cruz,12870,2008
Private Gifts,Santa Cruz,9452,2008
State Educational Appropriations,Santa Cruz,124295,2008
State Financing Appropriations,Santa Cruz,9212,2008
Student Tuition and Fees,Santa Cruz,122627,2008
Auxiliary Enterprises,Santa Cruz,86863,2009
Educational Activities,Santa Cruz,8601,2009
Grants and Contracts,Santa Cruz,144079,2009
Investment Income,Santa Cruz,7033,2009
Medical Centers,Santa Cruz,0,2009
Other Revenues,Santa Cruz,11898,2009
Private Gifts,Santa Cruz,9253,2009
State Educational Appropriations,Santa Cruz,100910,2009
State Financing Appropriations,Santa Cruz,8745,2009
Student Tuition and Fees,Santa Cruz,131404,2009
Auxiliary Enterprises,Santa Cruz,85207,2010
Educational Activities,Santa Cruz,1473,2010
Grants and Contracts,Santa Cruz,151615,2010
Investment Income,Santa Cruz,5480,2010
Medical Centers,Santa Cruz,0,2010
Other Revenues,Santa Cruz,10925,2010
Private Gifts,Santa Cruz,9102,2010
State Educational Appropriations,Santa Cruz,118065,2010
State Financing Appropriations,Santa Cruz,6855,2010
Student Tuition and Fees,Santa Cruz,143844,2010
Auxiliary Enterprises,Santa Cruz,88680,2011
Educational Activities,Santa Cruz,1388,2011
Grants and Contracts,Santa Cruz,168095,2011
Investment Income,Santa Cruz,7236,2011
Medical Centers,Santa Cruz,0,2011
Other Revenues,Santa Cruz,12902,2011
Private Gifts,Santa Cruz,8889,2011
State Educational Appropriations,Santa Cruz,153384,2011
State Financing Appropriations,Santa Cruz,9166,2011
Student Tuition and Fees,Santa Cruz,174963,2011
Auxiliary Enterprises,Santa Cruz,100450,2012
Educational Activities,Santa Cruz,1312,2012
Grants and Contracts,Santa Cruz,169656,2012
Investment Income,Santa Cruz,8808,2012
Medical Centers,Santa Cruz,0,2012
Other Revenues,Santa Cruz,14449,2012
Private Gifts,Santa Cruz,10647,2012
State Educational Appropriations,Santa Cruz,111314,2012
State Financing Appropriations,Santa Cruz,9100,2012
Student Tuition and Fees,Santa Cruz,206408,2012
